Local,GolesLocal,GolesVisitante,Visitante
Spartak Moscú ,2,0,Bayer Leverkusen 
Sporting CP,2,2,Real Madrid
Bayer Leverkusen ,3,2,Sporting CP
Real Madrid,1,0,Spartak Moscú 
Spartak Moscú ,3,1,Sporting CP
Bayer Leverkusen ,2,3,Real Madrid
Sporting CP,0,3,Spartak Moscú 
Real Madrid,5,3,Bayer Leverkusen 
Bayer Leverkusen ,1,0,Spartak Moscú 
Real Madrid,4,0,Sporting CP
Spartak Moscú ,1,0,Real Madrid
Sporting CP,0,0,Bayer Leverkusen 
Sparta Praha ,0,1,Arsenal 
Shakhtar Donetsk,0,3,Lazio 
Arsenal ,3,2,Shakhtar Donetsk
Lazio ,3,0,Sparta Praha 
Sparta Praha ,3,2,Shakhtar Donetsk
Arsenal ,2,0,Lazio 
Shakhtar Donetsk,2,1,Sparta Praha 
Lazio ,1,1,Arsenal 
Arsenal ,4,2,Sparta Praha 
Lazio ,5,1,Shakhtar Donetsk
Sparta Praha ,0,1,Lazio 
Shakhtar Donetsk,3,0,Arsenal 
Valencia ,2,1,Olympiacos 
Olympique de Lyon ,3,1,Heerenveen 
Olympiakos ,2,1,Olympique Lyon 
Heerenveen ,0,1,Valencia 
Valencia ,1,0,Olympique de Lyon 
Olympiacos ,2,0,Heerenveen 
Olympique de Lyon ,1,2,Valencia 
Heerenveen ,1,0,Olympiacos 
Olympiacos ,1,0,Valencia 
Heerenveen ,0,2,Olympique de Lyon 
Valencia ,1,1,Heerenveen 
Olympique de Lyon ,1,0,Olympiacos 
Galatasaray ,3,2,Mónaco 
Rangers ,5,0,Sturm Graz 
Mónaco ,0,1,Rangers 
Sturm Graz ,3,0,Galatasaray 
Galatasaray ,3,2,Rangers 
Mónaco ,5,0,Sturm Graz 
Rangers ,0,0,Galatasaray 
Sturm Graz ,2,0,Mónaco 
Mónaco ,4,2,Galatasaray 
Sturm Graz ,2,0,Rangers 
Galatasaray ,2,2,Sturm Graz 
Rangers ,2,2,Mónaco 
Hamburgo ,4,4,Juventus
