Local,GolesLocal,GolesVisitante,Visitante
Twente,2,2,InterdeMilán
WerderBremen,2,2,TottenhamHotspur
TottenhamHotspur,4,1,Twente
InterdeMilán,4,0,WerderBremen
InterdeMilán,4,3,TottenhamHotspur
Twente,1,1,WerderBremen
TottenhamHotspur,3,1,InterdeMilán
WerderBremen,0,2,Twente
InterdeMilán,1,0,Twente
TottenhamHotspur,3,0,WerderBremen
Twente,3,3,TottenhamHotspur
WerderBremen,3,0,InterdeMilán
OlympiquedeLyon,1,0,Schalke04
Benfica,2,0,HapoelTelAviv
HapoelTelAviv,1,3,OlympiquedeLyon
Schalke04,2,0,Benfica
Schalke04,3,1,HapoelTelAviv
OlympiquedeLyon,2,0,Benfica
HapoelTelAviv,0,0,Schalke04
Benfica,4,3,OlympiquedeLyon
Schalke04,3,0,OlympiquedeLyon
HapoelTelAviv,3,0,Benfica
OlympiquedeLyon,2,2,HapoelTelAviv
Benfica,1,2,Schalke04
ManchesterUnited,0,0,Rangers
Bursaspor,0,4,Valencia
Valencia,0,1,ManchesterUnited
Rangers,1,0,Bursaspor
Rangers,1,1,Valencia
ManchesterUnited,1,0,Bursaspor
Valencia,3,0,Rangers
Bursaspor,0,3,ManchesterUnited
Rangers,0,1,ManchesterUnited
Valencia,6,1,Bursaspor
ManchesterUnited,1,1,Valencia
Bursasor,1,1,Rangers
Barcelona,5,1,Panathinaikos
Copenhague,1,0,RubinKazán
RubinKazán,1,1,Barcelona
Panathinaikos,0,2,Copenhague
Panathinaikos,0,0,RubinKazán
Barcelona,2,0,Copenhague
RubinKazán,0,0,Panathinaikos
Copenhague,1,1,Barcelona
Panathinaikos,0,3,Barcelona
RubinKazán,1,0,Copenhague
Barcelona,2,0,RubinKazán
Copenhague,3,1,Panathinaikos
BayernMúnich,2,0,Roma
CFRCluj,2,1,Basel
Basel,1,2,BayernMúnich
Roma,2,1,CFRCluj
Roma,1,3,Basel
BayernMúnich,3,2,CFRCluj
Basel,2,3,Roma
CFRCluj,0,4,BayernMúnich
Roma,3,2,BayernMúnich
Basel,1,0,CFRCluj
BayernMúnich,3,0,Basel
CFRCluj,1,1,Roma
OlympiquedeMarsella,0,1,SpartakMoscú
MŠKŽilina,1,4,Chelsea
Chelsea,2,0,OlympiquedeMarsella
SpartakMoscú,3,0,MŠKŽilina
SpartakMoscú,0,2,Chelsea
OlympiquedeMarsella,1,0,MŠKŽilina
Chelsea,4,1,SpartakMoscú
MŠKŽilina,0,7,OlympiquedeMarsella
SpartakMoscú,0,3,OlympiquedeMarsella
Chelsea,2,1,MŠKŽilina
OlympiquedeMarsella,1,0,Chelsea
MŠKŽilina,1,2,SpartakMoscú
RealMadrid,2,0,AjaxÁmsterdam
Milan,2,0,Auxerre
Auxerre,0,1,RealMadrid
AjaxÁmsterdam,1,1,Milan
AjaxÁmsterdam,2,1,Auxerre
RealMadrid,2,0,Milan
Auxerre,2,1,AjaxÁmsterdam
Milan,2,2,RealMadrid
AjaxÁmsterdam,0,4,RealMadrid
Auxerre,0,2,Milan
RealMadrid,4,0,Auxerre
Milan,0,2,AjaxÁmsterdam
Arsenal,6,0,SportingBraga
ShakhtarDonetsk,1,0,PartizanBelgrado
PartizanBelgrado,1,3,Arsenal
SportingBraga,0,3,ShakhtarDonetsk
SportingBraga,2,0,PartizanBelgrado
Arsenal,5,1,ShakhtarDonetsk
PartizanBelgrado,0,1,SportingBraga
ShakhtarDonetsk,2,1,Arsenal
SportingBraga,2,0,Arsenal
PartizanBelgrado,0,3,ShakhtarDonetsk
Arsenal,3,1,PartizanBelgrado
ShakhtarDonetsk,2,0,SportingBraga
