Local,GolesLocal,GolesVisitante,Visitante
Olympiacos,3,2,AtléticodeMadrid
Juventus,2,0,Malmö
Malmö,2,0,Olympiacos
AtléticodeMadrid,1,0,Juventus
AtléticodeMadrid,5,0,Malmö
Olympiacos,1,0,Juventus
Malmö,0,2,AtléticodeMadrid
Juventus,3,2,Olympiacos
AtléticodeMadrid,4,0,Olympiacos
Malmö,0,2,Juventus
Olympiacos,4,2,Malmö
Juventus,0,0,AtléticodeMadrid
Liverpool,2,1,LudogoretsRazgrad
RealMadrid,5,1,F.C.Basel
Basel,1,0,Liverpool
LudogoretsRazgrad,1,2,RealMadrid
LudogoretsRazgrad,1,0,Basel
Liverpool,0,3,RealMadrid
Basel,4,0,LudogoretsRazgrad
RealMadrid,1,0,Liverpool
LudogoretsRazgrad,2,2,Liverpool
Basel,0,1,RealMadrid
Liverpool,1,1,Basel
RealMadrid,4,0,LudogoretsRazgrad
Mónaco,1,0,BayerLeverkusen
Benfica,0,2,ZenitSanPetersburgo
ZenitSanPetersburgo,0,0,Mónaco
BayerLeverkusen,3,1,Benfica
BayerLeverkusen,2,0,ZenitSanPetersburgo
Mónaco,0,0,Benfica
ZenitSanPetersburgo,1,2,BayerLeverkusen
Benfica,1,0,Mónaco
ZenitSanPetersburgo,1,0,Benfica
BayerLeverkusen,0,1,Mónaco
Mónaco,2,0,ZenitSanPetersburgo
Benfica,0,0,BayerLeverkusen
Galatasaray,1,1,Anderlecht
BorussiaDortmund,2,0,Arsenal
Arsenal,4,1,Galatasaray
Anderlecht,0,3,BorussiaDortmund
Anderlecht,1,2,Arsenal
Galatasaray,0,4,BorussiaDortmund
Arsenal,3,3,Anderlecht
BorussiaDortmund,4,1,Galatasaray
Anderlecht,2,0,Galatasaray
Arsenal,2,0,BorussiaDortmund
Galatasaray,1,4,Arsenal
BorussiaDortmund,1,1,Anderlecht
Roma,5,1,CSKAMoscú
BayernMúnich,1,0,ManchesterCity
CSKAMoscú,0,1,BayernMúnich
ManchesterCity,1,1,Roma
CSKAMoscú,2,2,ManchesterCity
Roma,1,7,BayernMúnich
ManchesterCity,1,2,CSKAMoscú
BayernMúnich,2,0,Roma
CSKAMoscú,1,1,Roma
ManchesterCity,3,2,BayernMúnich
Roma,0,2,ManchesterCity
BayernMúnich,3,0,CSKAMoscú
Barcelona,1,0,APOEL
Ajax,1,1,ParísSaint-Germain
ParísSaint-Germain,3,2,Barcelona
APOEL,1,1,Ajax
APOEL,0,1,ParísSaint-Germain
Barcelona,3,1,Ajax
ParísSaint-Germain,1,0,APOEL
Ajax,0,2,Barcelona
APOEL,0,4,Barcelona
ParísSaint-Germain,3,1,Ajax
Barcelona,3,1,ParísSaint-Germain
Ajax,4,0,APOEL
Chelsea,1,1,Schalke04
Maribor,1,1,SportingdeLisboa
SportingdeLisboa,0,1,Chelsea
Schalke04,1,1,Maribor
Schalke04,4,3,SportingdeLisboa
Chelsea,6,0,Maribor
SportingdeLisboa,4,2,Schalke04
Maribor,1,1,Chelsea
Schalke04,0,5,Chelsea
SportingdeLisboa,3,1,Maribor
Chelsea,3,1,SportingdeLisboa
Maribor,0,1,Schalke04
Porto,6,0,BATEBorisov
AthleticClub,0,0,ShakhtarDonetsk
ShakhtarDonetsk,2,2,Oporto
BATEBorisov,2,1,AthleticClub
BATEBorisov,0,7,ShakhtarDonetsk
Porto,2,1,AthleticClub
ShakhtarDonetsk,5,0,BATEBorisov
AthleticClub,0,2,Porto
BATEBorisov,0,3,Porto
ShakhtarDonetsk,0,1,AthleticClub
Oporto,1,1,ShakhtarDonetsk
AthleticClub,2,0,BATEBorisov
