Local,GolesLocal,GolesVisitante,Visitante
Juventus,1,1,Girondins de Burdeos
Maccabi Haifa FC,0,3,Bayern
Bayern,0,0,Juventus
Girondins de Burdeos,1,0,Maccabi Haifa
Girondins de Burdeos,2,1,Bayern
Juventus,1,0,Maccabi Haifa
Bayern,0,2,Girondins de Burdeos
Maccabi Haifa,0,1,Juventus
Girondins de Burdeos,2,0,Juventus
Bayern,1,0,Maccabi Haifa
Juventus,1,4,Bayern
Maccabi Haifa,0,1,Girondins de Burdeos
VfL Wolfsburgo,3,1,CSKA Moscú
Beşiktaş JK,0,1,Man. United
Man. United,2,1,VfL Wolfsburgo
CSKA Moscú,2,1,Beşiktaş JK
CSKA Moscú,0,1,Man. United
VfL Wolfsburgo,0,0,Beşiktaş JK
Man. United,3,3,CSKA Moscú
Beşiktaş JK,0,3,VfL Wolfsburgo
CSKA Moscú,2,1,VfL Wolfsburgo
Man. United,0,1,Beşiktaş JK
VfL Wolfsburgo,1,3,Man. United
Beşiktaş JK,1,2,CSKA Moscú
Zürich,2,5,Real Madrid
Olympique Marsella,1,2,Milan
Milan,0,1,Zürich
Real Madrid,3,0,Olympique Marsella
Real Madrid,2,3,Milan
Zürich,0,1,Olympique Marsella
Milan,1,1,Real Madrid
Olympique Marsella,6,1,Zürich
Real Madrid,1,0,Zürich
Milan,1,1,Olympique Marsella
Zürich,1,1,Milan
Olympique Marsella,1,3,Real Madrid
Chelsea,1,0,Porto
Atlético,0,0,APOEL Nicosia
APOEL Nicosia,0,1,Chelsea
Porto,2,0,Atlético
Porto,2,1,APOEL Nicosia
Chelsea,4,0,Atlético
APOEL Nicosia,0,1,Porto
Atlético,2,2,Chelsea
Porto,0,1,Chelsea
APOEL Nicosia,1,1,Atlético
Chelsea,2,2,APOEL Nicosia
Atlético,0,3,Porto
Liverpool,1,0,Debreceni VSC
Olympique Lyon,1,0,Fiorentina
Fiorentina,2,0,Liverpool
Debreceni VSC,0,4,Olympique Lyon
Debreceni VSC,3,4,Fiorentina
Liverpool,1,2,Olympique Lyon
Fiorentina,5,2,Debreceni VSC
Olympique Lyon,1,1,Liverpool
Debreceni VSC,0,1,Liverpool
Fiorentina,1,0,Olympique Lyon
Liverpool,1,2,Fiorentina
Olympique Lyon,4,0,Debreceni VSC
Internazionale,0,0,Barcelona
Dinamo Kiev,3,1,Rubin Kazán
Rubin Kazán,1,1,Internazionale
Barcelona,2,0,Dinamo Kiev
Barcelona,1,2,Rubin Kazán
Internazionale,2,2,Dinamo Kiev
Rubin Kazán,0,0,Barcelona
Dinamo Kiev,1,2,Internazionale
Barcelona,2,0,Internazionale
Rubin Kazán,0,0,Dinamo Kiev
Internazionale,2,0,Rubin Kazán
Dinamo Kiev,1,2,Barcelona
Stuttgart,1,1,Glasgow Rangers
Sevilla,2,0,Unirea Urziceni
Unirea Urziceni,1,1,Stuttgart
Glasgow Rangers,1,4,Sevilla
Glasgow Rangers,1,4,Unirea Urziceni
Stuttgart,1,3,Sevilla
Unirea Urziceni,1,1,Glasgow Rangers
Sevilla,1,1,Stuttgart
Glasgow Rangers,0,2,Stuttgart
Unirea Urziceni,1,0,Sevilla
Stuttgart,3,1,Unirea Urziceni
Sevilla,1,0,Glasgow Rangers
Olympiacos,1,0,AZ Alkmaar
Standard Lieja,2,3,Arsenal
Arsenal,2,0,Olympiacos
AZ Alkmaar,1,1,Standard Lieja
AZ Alkmaar,1,1,Arsenal
Olympiacos,2,1,Standard Lieja
Arsenal,4,1,AZ Alkmaar
Standard Lieja,2,0,Olympiacos
AZ Alkmaar,0,0,Olympiacos
Arsenal,2,0,Standard Lieja
Olympiacos,1,0,Arsenal
Standard Lieja,1,1,AZ Alkmaar
