Local,GolesLocal,GolesVisitante,Visitante
Barcelona,5,0,Levski Sofia
Chelsea,2,0,Werder Bremen
Levski Sofia ,1,3,Chelsea
Werder Bremen ,1,1,Barcelona
Werder Bremen ,2,0,Levski Sofia
Chelsea,1,0,Barcelona
Levski Sofia ,0,3,Werder Bremen
Barcelona,2,2,Chelsea
Werder Bremen ,1,0,Chelsea
Levski Sofia ,0,2,Barcelona
Chelsea,2,0,Levski Sofia
Barcelona,2,0,Werder Bremen 
Bayern,4,0,Spartak de Moscú
Sporting CP,1,0,Internazionale
Spartak de Moscú ,1,1,Sporting de Portugal
Internazionale,0,2,Bayern de Múnich
Internazionale,2,1,Spartak de Moscú
Sporting CP,0,1,Bayern de Múnich
Spartak de Moscú ,0,1,Internazionale
Bayern,0,0,Sporting de Portugal
Internazionale,1,0,Sporting de Portugal
Spartak de Moscú ,2,2,Bayern de Múnich
Sporting CP,1,3,Spartak de Moscú
Bayern,1,1,Internazionale
Galatasaray ,0,0,Girondins de Bordeaux
PSV Eindhoven ,0,0,Liverpool
Girondins de Bordeaux ,0,1,PSV Eindhoven
Liverpool,3,2,Galatasaray
Girondins de Bordeaux ,0,1,Liverpool
Galatasaray ,1,2,PSV Eindhoven
Liverpool,3,0,Girondins de Bordeaux
PSV Eindhoven ,2,0,Galatasaray
Liverpool,2,0,PSV Eindhoven
Girondins de Bordeaux ,3,1,Galatasaray
PSV Eindhoven ,1,3,Girondins de Bordeaux
Galatasaray ,3,2,Liverpool
Olympiacos ,2,4,Valencia
Roma ,4,0,Shakhtar Donetsk
Valencia ,2,1,Roma
Shakhtar Donetsk,2,2,Olympiacos
Valencia ,2,0,Shakhtar Donetsk
Olympiacos ,0,1,Roma
Shakhtar Donetsk,2,2,Valencia
Roma ,1,1,Olympiacos
Shakhtar Donetsk,1,0,Roma
Valencia ,2,0,Olympiacos
Roma ,1,0,Valencia
Olympiacos ,1,1,Shakhtar Donetsk
Dinamo Kiev ,1,4,Steaua Bucarest
Olympique de Lyon ,2,0,Real Madrid
Steaua Bucarest ,0,3,Olympique de Lyon
Real Madrid,5,1,Dinamo Kiev
Steaua Bucarest ,1,4,Real Madrid
Dinamo Kiev ,0,3,Olympique de Lyon
Real Madrid,1,0,Steaua Bucarest
Olympique de Lyon ,1,0,Dinamo Kiev
Real Madrid,2,2,Olympique de Lyon
Steaua Bucarest ,1,1,Dinamo Kiev
Olympique de Lyon ,1,1,Steaua Bucarest
Dinamo Kiev ,2,2,Real Madrid
Man. United,3,2,Celtic
Copenhague ,0,0,Benfica
Celtic ,1,0,Copenhague
Benfica,0,1,Manchester United
Celtic ,3,0,Benfica
Man. United,3,0,Copenhague
Benfica,3,0,Celtic
Copenhague ,1,0,Manchester United
Benfica,3,1,Copenhague
Celtic ,1,0,Manchester United
Copenhague ,3,1,Celtic
Man. United,3,1,Benfica
Porto,0,0,CSKA Moscú
Hamburgo ,1,2,Arsenal
CSKA Moscú ,1,0,Hamburgo
Arsenal ,2,0,Porto
CSKA Moscú ,1,0,Arsenal
Porto,4,1,Hamburgo
Arsenal ,0,0,CSKA Moscú
Hamburgo ,1,3,Porto
Arsenal ,3,1,Hamburgo
CSKA Moscú ,0,2,Porto
Hamburgo ,3,2,CSKA Moscú
Porto,0,0,Arsenal
Anderlecht ,1,1,Lille
Milan,3,0,AEK Atenas
LOSC,0,0,Milan
AEK Atenas ,1,1,Anderlecht
LOSC,3,1,AEK Atenas
Anderlecht ,0,1,Milan
AEK Atenas ,1,0,Lille
Milan,4,1,Anderlecht
AEK Atenas ,1,0,Milan
LOSC,2,2,Anderlecht
Milan,0,2,Lille
Anderlecht ,2,2,AEK Atenas 
