Local,GolesLocal,GolesVisitante,Visitante
Liverpool,2,0,AS Monaco
Deportivo de La Coruña ,0,0,Olympiacos
AS Monaco ,2,0,Deportivo de La Coruña
Olympiacos ,1,0,Liverpool
Liverpool,0,0,Deportivo de La Coruña
AS Monaco ,2,1,Olympiacos
Deportivo de La Coruña ,0,1,Liverpool
Olympiacos ,1,0,AS Monaco
AS Monaco ,1,0,Liverpool
Olympiacos ,1,0,Deportivo de La Coruña
Liverpool,3,1,Olympiacos
Deportivo de La Coruña ,0,5,AS Monaco
Bayer Leverkusen ,3,0,Real Madrid
A.S. Roma ,0,32​ ,Dinamo de Kiev
Real Madrid,4,2,AS Roma
Dinamo de Kiev ,4,2,Bayer Leverkusen
Bayer Leverkusen ,3,1,AS Roma
Real Madrid,1,0,Dinamo de Kiev
AS Roma ,1,1,Bayer Leverkusen
Dinamo de Kiev ,2,2,Real Madrid
Real Madrid,1,1,Bayer Leverkusen
Dinamo de Kiev ,2,0,AS Roma
Bayer Leverkusen ,3,0,Dinamo de Kiev
AS Roma ,0,3,Real Madrid
Ajax,0,1,Juventus
Maccabi Tel Aviv ,0,1,Bayern Múnich
Juventus,1,0,Maccabi Tel Aviv
Bayern,4,0,Ajax Ámsterdam
Ajax,3,0,Maccabi Tel Aviv
Juventus,1,0,Bayern Múnich
Maccabi Tel Aviv ,2,1,Ajax Ámsterdam
Bayern,0,1,Juventus
Juventus,1,0,Ajax Ámsterdam
Bayern,5,1,Maccabi Tel Aviv
Ajax,2,2,Bayern Múnich
Maccabi Tel Aviv ,1,1,Juventus
Fenerbahçe ,1,0,Sparta Praga
Olympique Lyon ,2,2,Manchester United
Sparta Praga ,1,2,Olympique Lyon
Man. United,6,2,Fenerbahçe
Fenerbahçe ,1,3,Olympique Lyon
Sparta Praga ,0,0,Manchester United
Olympique Lyon ,4,2,Fenerbahçe
Man. United,4,1,Sparta Praga
Sparta Praga ,0,1,Fenerbahçe
Man. United,2,1,Olympique Lyon
Fenerbahçe ,3,0,Manchester United
Olympique Lyon ,5,0,Sparta Praga
Panathinaikos ,2,1,Rosenborg
Arsenal ,1,0,PSV Eindhoven
Rosenborg ,1,1,Arsenal
PSV Eindhoven ,1,0,Panathinaikos
Panathinaikos ,2,2,Arsenal
Rosenborg ,1,2,PSV Eindhoven
Arsenal ,1,1,Panathinaikos
PSV Eindhoven ,1,0,Rosenborg
Rosenborg ,2,2,Panathinaikos
PSV Eindhoven ,1,1,Arsenal
Panathinaikos ,4,1,PSV Eindhoven
Arsenal ,5,1,Rosenborg
Shakhtar Donetsk,0,1,Milan
Celtic ,1,3,Barcelona
Milan,3,1,Celtic
Barcelona,3,0,Shakhtar Donetsk
Shakhtar Donetsk,3,0,Celtic
Milan,1,0,Barcelona
Celtic ,1,0,Shakhtar Donetsk
Barcelona,2,1,Milan
Milan,4,0,Shakhtar Donetsk
Barcelona,1,1,Celtic
Shakhtar Donetsk,2,0,Barcelona
Celtic ,0,0,Milan
Valencia ,2,0,Anderlecht
Internazionale,2,0,Werder Bremen
Anderlecht ,1,3,Internazionale
Werder Bremen ,2,1,Valencia
Valencia ,1,5,Internazionale
Anderlecht ,1,2,Werder Bremen
Internazionale,0,0,Valencia
Werder Bremen ,5,1,Anderlecht
Anderlecht ,1,2,Valencia
Werder Bremen ,1,1,Internazionale
Valencia ,0,2,Werder Bremen
Internazionale,3,0,Anderlecht
París Saint-Germain ,0,3,Chelsea
Porto,0,0,CSKA Moscú
Chelsea,3,1,Porto
CSKA Moscú ,2,0,París Saint-Germain
París Saint-Germain ,2,0,Porto
Chelsea,2,0,CSKA Moscú
Porto,0,0,París Saint-Germain
CSKA Moscú ,0,1,Chelsea
Chelsea,0,0,París Saint-Germain
CSKA Moscú ,0,1,Porto
París Saint-Germain ,1,3,CSKA Moscú
Porto,2,1,Chelsea
